Title,"Bhavaprakasha Madhyamakhandarya Suchi, Bharaprakasa Madhyamakhanda"
Accession Number,AM-MSS-143-112
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Manuscript
Main Material,Paper
Medium,Black Ink
Artist's Nationality,Indian
Origin Place,India
Period / Year of Work,C.18th Century CE
Subject,Ayurveda
Language,Sanskrit
Script,Devnagari
Number of folios,277
Brief Description,Initial content
Detailed Description,The manuscript is related with Aryurveda. It has 554 folios.
Title,Brahmana Purana
Accession Number,AM-MSS-38-162
Title2,Brahmana Purana
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Manuscript
Main Material,Paper
Medium,Black Ink
Manufacturing Technique,NA
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,NA
Author,NA
Origin Place,Not Known
Find Place,Not Known
Scribe,NA
Style,NA
School,Not Known
Patron/Dynasty,NA
Period / Year of Work,18th Century CE
Subject,Purana
Language,Sanskrit
Script,Devnagari
Inscription,NO
Number of folios,20
Brief Description,This is the Manuscript of Brahmana Purana.
Detailed Description,This is the Manuscript of Brahmana Purana.
Title,Sasthi Puja
Accession Number,AM-MSS-56-537
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Manuscript
Main Material,Paper
Medium,Black Ink
Manufacturing Technique,Hand Written
Artist's Nationality,Indian
Country,India
Period / Year of Work,C. 18th Century  CE
Subject,Vrat Katha Kavach and Tantra-Mantra etc.
Language,Sanskrit
Script,Devnagari
Number of folios,5
Detailed Description,"This manuscript belongs to Vrat, Katha, Kavach and Tantra-Mantra etc. It has 10 pages."
Title,Chandrakaladhara
Accession Number,AM-MSS-233-gha-292
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Manuscript
Main Material,Paper
Medium,Black Ink
Manufacturing Technique,Hand-Written
Artist's Nationality,Indian
Country,India
Period / Year of Work,C.18th Century  CE
Subject,Ayurveda
Language,Sanskrita
Script,Devnagari
Number of folios,9
Detailed Description,The manuscript is related with Ayurveda. It has 18 pages.
Title,Jvarachikitsa
Accession Number,AM-MSS-233-gha-293
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Manuscript
Main Material,Paper
Medium,Black Ink
Manufacturing Technique,Hand-Written
