Title,Accession Number,Museum Name,Object Type,,Medium,,Main Artist,,Artist's Nationality,,Artist's Life Date / Bio Data,,Country,,Inscription,,Dimensions,,Brief Description,,Detailed Description,,Period / Year of Work,,Gallery Name,,Main Material,,Component Material II,,Origin Place
A Sketch of Coconut Tree and Clouds,ngma-04227,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' and dated '12.3' in Bengali in the bottom-right corner of the painting.,,28.7 x 19 cm,,"Ramkinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. Baij's watercolours mostly reflects his preoccupation with nature and the
animal world. His work is characterized by tremendous energy, dynamism and the use of
earthy colours. In the above painting, the artist has depicted a landscape with dabs and dashes of watercolour
in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
A Sketch of a Landscape,ngma-04229,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom-right corner of the painting.,,37.4 x 27.8 cm,,"Ram kinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. Baij's watercolours mostly reflects his preoccupation with nature and the
animal world. His work is characterized by tremendous energy, dynamism and the use of
earthy colours. In the above painting, the artist depicts a landscape rendered with dabs and dashes of
watercolour in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
Snow caped mountain,ngma-04230,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Dated '22.6.56' in English  in the bottom-right corner of the painting.the painting also bears an inscription in English that can be read as 'Baijnath' referring to the name of the place,,,,"Ramkinkar Baij selected
images for his sculptures and paintings from his rural surroundings. The poor
and the downtrodden figured primarily as his subjects. Baij's
watercolours mostly reflect his preoccupation with nature and the animal world.
His work is
characterized by tremendous energy, dynamism and the use of earthy colours. In the above painting, the artist has depicted
a mountainscape with dabs and dashes of watercolour in tonal
variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,1956,,,,,,,,
A Study of Trees,ngma-04231,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' and dated '12.3' in Bengali in the bottom-right corner of the painting.,,27.7 x 19 cm,,"Ram kinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. Baij's watercolours mostly reflects his preoccupation with nature and the
animal world. His work is characterized by tremendous energy, dynamism and the use of
earthy colours. In the above painting, the artist has depicted huts in the
background and tress in the foreground rendered with dabs and dashes of watercolour in
tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
Two buffaloes,ngma-04232,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom-right corner of the painting.,,,,"Ramkinkar Baij selected images for his sculptures and paintings from his rural surroundings. The poor and the downtrodden figured primarily as his subjects. Baij's watercolours mostly reflect his preoccupation with nature and the animal world. His work is characterized by tremendous energy, dynamism and the use of earthy colours. In the above painting, the artist has depicted two buffaloes with dabs and dashes of watercolour in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
A Study of Trees,ngma-04233,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom- right corner of the sketch.,,,,"Ramkinkar deep felt love and oneness with nature could be seen in his vigorously painted and sculpted images of the animals, birds, flora and fauna in his surroundings. In this painting, he has depicted trees over a mountain, rendered with fluid, swift strokes of watercolour in tonal variation delineating the forms and adding grace to the composition.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
Bathing of an Elephant,ngma-04234,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' along the upper margin of the painting.,,,,"Ramkinkar Baij selected images for his sculptures and paintings from his rural surroundings. The poor and the downtrodden figured primarily as his subjects. Baij's watercolours mostly reflect his preoccupation with nature and the animal world. His work is characterised by tremendous energy, dynamism and the use of earthy colours. In the above painting, the artist has depicted a mahout bathing an elephant, rendered with dabs and dashes of watercolour in tonal variations, delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition were interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
Cows Resting,ngma-04237,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Vaij,,Indian,,,,India,,,,27.7x19cm,,"Ramkinker's sketches, much like the quality of his sculptures are earthy and dynamic.  They reflect a keen observer's eye through the quick but a detailed observations in them.  His watercolour renderings are sketchy in nature but have the quality of a detailed documented visual reflection.  This watercolour of his depicts a landscape with cows resting.",,,,1952,,,,,,,,
A Sketch of a Cart,ngma-04238,"National Gallery of Modern Art, New Delhi",Painting,,Pen and ink on paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' and dated '29.12' in Bengali in the bottom-right corner of the painting.,,32.3 x 27.1 cm,,"Ram kinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. His work is characterized by tremendous energy, dynamism
and the use of earthy colours. In this
sketch, the artist has depicted a sketch of a cart, rendered with fluid, fine lines of pen and ink delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
"A Landscape, Bagmati, Nepal",ngma-04239,"National Gallery of Modern Art, New Delhi",Painting,,Watercolour on paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar Vaij' in English in the bottom-right corner of the painting.,,27.3 x 18.3 cm,,"The first signs of progressing towards a more radical modernist language beyond post-impressionism can be seen in some of Ramkinkar's drawings from the late thirties and until the later years. Their general theme is landscape, and the motifs are primarily rows of trees and huts, interspersed at times with a few figures. In this particular painting, he has rendered a mountainous terrain with dabs and dashes of watercolour, with the individual forms harmoniously blending into each other.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition were interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
