Title,Gold Coin of Kanishka I
Accession Number,AM-GC-100
Title2,Gold Coin of Kanishka I
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Author,NA
Country,India
Provenance,NA
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Style,Not Known
School,Not Known
Patron/Dynasty,Kushana
Period / Year of Work,C. Ist Century CE
Inscription,The coin is inscribed in Greeck.
Mint,Not Known
Weight,7.78 gm
Brief Description,"Gold coin of Kanishka I on the obverse with the Hellenistic divinity 
on reverse."
Detailed Description,"Huvishka(I)'s son Kanishka (Kanishka I), who was so far being 
considered the successor of Wima  Kadphises, had issued coins in 
gold and copper; and on the coins of gold and silver. He used the 
same type of his portrayal- standing, dressed in a long tunic, 
shalwar, mantle held by double clasp at the chest and a low round 
cap, sacrifice at an alter and holding a spear in his left hand, 
but at the same time he did not confirm the reverse of his coins 
to any one particular deity. Deity bearing Iranian name Mao has 
been depicted on the reverse of this coin. He ended the bilingual 
tradition of Greek and Kharoshthi and retained only Greeck for a 
while and issued coins with the legend Basileos Basilion 
Kanishkou."
Coin Description Obverse,"Bearded king standing to left, on a circular mat, wearing peaked helmet, coat, trousers,holding in right hand an elephant-goad and sacrificing over an alter and grasping a spear with left hand;having sword at the waist; 
Bactrian legend-  Shaonano Shao Kaneshki Koshno"
Coin Description Reverse,"Moon god standing to left;
Legend- Mao; Monogram in left"
Title,Indo-Roman Gold Coin of Septimus
Accession Number,AM-GC-105
Title2,Indo-Roman Gold Coin of Septimus
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indo-Roman
Artist's Life Date / Bio Data,No
Author,NA
Country,India
Provenance,Not Known
Origin Place,India
Find Place,Not Known
Scribe,Inscribed
Style,Indo-Roman Style
School,NA
Patron/Dynasty,Indo-Roman
Period / Year of Work,C. 2nd Century BCE
Inscription,The coin is inscribed in Roman script.
Denomination,Not Known
Mint,Not Known
Weight,6.98 gm
Brief Description,"This Roman gold coin may be issued during the end of 2nd Century AD 
may be circulated in Indian trade and commerce."
Detailed Description,"This Roman gold coin may be issued during the end of 2nd Century AD 
may be circulated in Indian trade and commerce. Numerous hoards of 
Roman gold coins from the time of Augustus and emperors of the 1st 
and 2nd centuries CE have been uncovered in India, predominantly, 
but not exclusively, from southern India."
Coin Description Obverse,"Obverse-King face to right,Head of Ceaser,Legend on Obverse.
L--SEPTSEV  P II  RiAVg  iy P III"
Coin Description Reverse,"Reverse-Winged human God,legend on Reverse
Vic TAVG , P II COSII"
Title,Gaja-Simha Type Coin
Accession Number,AM-GC-96.50
Title2,Gaja-Simha Type Coin of Ratan Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Kalachuri
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.8828 gram
Dimensions,1.4 cm
Brief Description,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and proto nagari legend.
Detailed Description,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and proto nagari legend.
Coin Description Obverse,Lion on elephant (Gaja Simha motif).
Coin Description Reverse,"Proto Nagari legend of two lines. 1. ""Ratan"" 2.""Diva"".  ""Sri Ratan Deva"""
Title,Gaja-Simha Type Coin
Accession Number,AM-GC-96.51
Title2,Gaja-Simha Type Coin of Ratan Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Kalachuri
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.9760 gram
Dimensions,1.15 cm
Brief Description,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and legend.
Detailed Description,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and legend.
Coin Description Obverse,Lion on elephant (Gaja Simha motif).
Coin Description Reverse,"Legend of two lines 1. """"Sri Ma Ra.."""" 2. """"Nan Diva"""""
Title,Gaja-Simha Type Coin
Accession Number,AM-GC-96.52
Title2,Gaja-Simha Type Coin of Jajalla Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Alloy
Component Material II,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Kalachuri
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.8852 gram
Dimensions,1.3 cm
Brief Description,Gaja-Simha Type Coin of Jajalla Deva depicts lion and elephant and legend.
Detailed Description,Gaja-Simha Type Coin of Jajalla Deva depicts lion and elephant and legend.
Coin Description Obverse,Lion on elephant (Gaj Simha motif).
Coin Description Reverse,"Legend of two lines. 1. """"Srimaj ja"""" 2. """"Jallade""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.53
Title2,Seated Goddess Type Coin of Kumar Pal Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Tomars of Delhi and Kannauj
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,3.9572 gram
Dimensions,1.6 cm
Brief Description,"Seated Goddess Type Coin of Kumar Pal Deva depicts four armed goddess 
and proto nagari legned."
Detailed Description,Seated Goddess Type Coin of Kumar Pal Deva depicts four armed goddess and proto nagari legned.
Coin Description Obverse,Four armed goddess seated with her lowered legs.
Coin Description Reverse,"Proto Nagari legned of two lines 1.""""Sri Ma Ku"""" 2. """"Ra Pal""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.54
Title2,Seated Goddess Type Coin of Mahipala Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Tomars of Delhi and Kannauj
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,3.8658 gram
Brief Description,Debased Gold coin of mahipal deva of Delhi and kannauj.Four armed seated goddess and proto Nagari leegend.
Detailed Description,Debased Gold coin of mahipal deva of Delhi and kannauj.Four armed seated goddess and proto Nagari leegend.
Coin Description Obverse,Four armed goddess seated cross legged. Rubbed. Doted circle.
Coin Description Reverse,"Proto Nagari legend of two lines 1. """"Sri Ma Ma"""" 2. """"Hi Pal"""" 3. """"Deva""""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.55
Title2,Seated Goddess Type Coin of Mahipala Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Tomars of Delhi and Kannauj
