Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Gold Coin of Samurdgupta- Ashwamedha Type,AM-GC-1,Gold Coin of Samurdgupta- Ashwamedha Type,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,NA,India,NA,"Bharatpur, Rajasthan","Bharatpur, Rajasthan",Inscribed,NA,Not Known,Gupta,C. 4th Century AD,The coin is inscribed in Gupta Brahmi script.,Not Known,7.3 gm,"Samudra Gupta (350-370 CE)celebrated Ashwamedha (horse-sacrifice) 
and he issued his gold coins on this occasion.","Samudra Gupta (350-370 CE) made extensive conquest and made his 
influence over the rulers of the south-eastern coast as well as 
over the rulers beyond his frontiers in the north-west. He 
celebrated as Ashwamedha (horse-sacrifice). He issued his gold 
coins on this occasion called Ashwamedh-Type. The detail 
information 
about the event is elaborated in Prayag-Prashshti of Harishen.","The string of beads above the head and back of the horse; crescent above its haunch. Platform of the horse is connected with yūpa, by a vertical line above it. Legend beginning at, near the pedestal of the yūpa, rather blurred; Rajadharaja  prithavamavatva davā  jayatya","Queen standing on bead -bordered mat, towel in her left hand. Aśvamedhaparākramah. Tail of kra is joined to its central horizontal line and the letter thus looks like a Chālukyan ka.",Not Known,NA,,,,,
Gold Coin of Kanishka I,AM-GC-100,Gold Coin of Kanishka I,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,NA,India,NA,Not Known,Not Known,Inscribed,Not Known,Not Known,Kushana,C. Ist Century CE,The coin is inscribed in Greeck.,Not Known,7.78 gm,"Gold coin of Kanishka I on the obverse with the Hellenistic divinity 
on reverse.","Huvishka(I)'s son Kanishka (Kanishka I), who was so far being 
considered the successor of Wima  Kadphises, had issued coins in 
gold and copper; and on the coins of gold and silver. He used the 
same type of his portrayal- standing, dressed in a long tunic, 
shalwar, mantle held by double clasp at the chest and a low round 
cap, sacrifice at an alter and holding a spear in his left hand, 
but at the same time he did not confirm the reverse of his coins 
to any one particular deity. Deity bearing Iranian name Mao has 
been depicted on the reverse of this coin. He ended the bilingual 
tradition of Greek and Kharoshthi and retained only Greeck for a 
while and issued coins with the legend Basileos Basilion 
Kanishkou.","Bearded king standing to left, on a circular mat, wearing peaked helmet, coat, trousers,holding in right hand an elephant-goad and sacrificing over an alter and grasping a spear with left hand;having sword at the waist; 
Bactrian legend-  Shaonano Shao Kaneshki Koshno","Moon god standing to left;
Legend- Mao; Monogram in left",,,,,,,
Indo-Roman Gold Coin of Septimus,AM-GC-105,Indo-Roman Gold Coin of Septimus,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indo-Roman,No,NA,India,Not Known,India,Not Known,Inscribed,Indo-Roman Style,NA,Indo-Roman,C. 2nd Century BCE,The coin is inscribed in Roman script.,Not Known,6.98 gm,"This Roman gold coin may be issued during the end of 2nd Century AD 
may be circulated in Indian trade and commerce.","This Roman gold coin may be issued during the end of 2nd Century AD 
may be circulated in Indian trade and commerce. Numerous hoards of 
Roman gold coins from the time of Augustus and emperors of the 1st 
and 2nd centuries CE have been uncovered in India, predominantly, 
but not exclusively, from southern India.","Obverse-King face to right,Head of Ceaser,Legend on Obverse.
L--SEPTSEV  P II  RiAVg  iy P III","Reverse-Winged human God,legend on Reverse
Vic TAVG , P II COSII",Not Known,,,,,,
Gaja-Simha Type Coin,AM-GC-96.50,Gaja-Simha Type Coin of Ratan Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kalachuri,C. 12th Century CE,,Not Known,0.8828 gram,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and proto nagari legend.,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and proto nagari legend.,Lion on elephant (Gaja Simha motif).,"Proto Nagari legend of two lines. 1. ""Ratan"" 2.""Diva"".  ""Sri Ratan Deva""",,1.4 cm,,,,,
Gaja-Simha Type Coin,AM-GC-96.51,Gaja-Simha Type Coin of Ratan Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kalachuri,C. 12th Century CE,,Not Known,0.9760 gram,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and legend.,Gaja-Simha Type Coin of Ratan Deva depicts lion on elephant and legend.,Lion on elephant (Gaja Simha motif).,"Legend of two lines 1. """"Sri Ma Ra.."""" 2. """"Nan Diva""""",,1.15 cm,,,,,
Gaja-Simha Type Coin,AM-GC-96.52,Gaja-Simha Type Coin of Jajalla Deva,"Allahabad Museum, Allahabad",NA,Coin,Alloy,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kalachuri,C. 12th Century CE,,Not Known,0.8852 gram,Gaja-Simha Type Coin of Jajalla Deva depicts lion and elephant and legend.,Gaja-Simha Type Coin of Jajalla Deva depicts lion and elephant and legend.,Lion on elephant (Gaj Simha motif).,"Legend of two lines. 1. """"Srimaj ja"""" 2. """"Jallade"""".",,1.3 cm,Gold,,,,
Seated Goddess Type Coin,AM-GC-96.53,Seated Goddess Type Coin of Kumar Pal Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Tomars of Delhi and Kannauj,C. 11th Century CE,,Not Known,3.9572 gram,"Seated Goddess Type Coin of Kumar Pal Deva depicts four armed goddess 
and proto nagari legned.",Seated Goddess Type Coin of Kumar Pal Deva depicts four armed goddess and proto nagari legned.,Four armed goddess seated with her lowered legs.,"Proto Nagari legned of two lines 1.""""Sri Ma Ku"""" 2. """"Ra Pal"""".",,1.6 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.54,Seated Goddess Type Coin of Mahipala Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Tomars of Delhi and Kannauj,C. 11th Century CE,,Not Known,3.8658 gram,Debased Gold coin of mahipal deva of Delhi and kannauj.Four armed seated goddess and proto Nagari leegend.,Debased Gold coin of mahipal deva of Delhi and kannauj.Four armed seated goddess and proto Nagari leegend.,Four armed goddess seated cross legged. Rubbed. Doted circle.,"Proto Nagari legend of two lines 1. """"Sri Ma Ma"""" 2. """"Hi Pal"""" 3. """"Deva"""".",,,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.55,Seated Goddess Type Coin of Mahipala Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Tomars of Delhi and Kannauj,C. 11th Century CE,,Not Known,4.0076 gram,Seated Goddess Type Coin (Debased Gold) of Mahipala Deva depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Mahipala Deva depicts four armed goddess and proto nagari legend.,Four armed goddess seated. Small and thick.,"Proto Nagari legend of two lines. 1. """"Sri Ma Ma"""" 2. """"Hi Pal"""" 3. """"Deva"""".",,1.7 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.56,Seated Goddess Type Coin of Hallakshan Varman,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 11th Century CE,,Not Known,4.0174 gram,Seated Goddess Type Coin of Hallakshan Varman depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin of Hallakshan Varman depicts four armed goddess and proto nagari legend.,Four armed goddess seated.,"Proto Nagari legend of three lines. 1. ""Sri M Ha"" 2. ""Llakashna (va)"" 3. ""(Ma) Diva'.",,1.8 cm,,,,,
